taxa,Species,StudyPop,PC1 ,PC2 ,PC3
SRR5350108,P. sativum - Central Asia,Included,-43.41003026,171.0976707,-142.3029392
SRR5350109,P. sativum,Included,69.46110607,-40.48928686,5.338993135
SRR5350110,P. sativum subsp. sativum - Primary,Included,88.20372973,-78.59998132,-14.01723804
SRR5350111,P. sativum subsp. sativum - Primary,Included,44.46092173,-18.12866834,23.12806904
SRR5350113,P. sativum subsp. sativum - Primary,Included,82.64908107,-58.39389291,-4.17286825
SRR5350114,P. sativum subsp. sativum - Primary,Included,61.56001887,-30.13226975,13.50997006
SRR5350115,P. sativum subsp. sativum - Primary,Included,75.71671067,-53.78737997,-2.15284485
SRR5350116,P. sativum,Included,74.48432261,-47.98390401,0.380203785
SRR5350117,P. sativum,Included,-10.55210107,81.2248065,17.23817858
SRR5350118,P. sativum,Included,2.454019851,43.83609048,50.45050236
SRR5350119,P. sativum subsp. sativum - Primary,Included,39.45799585,-1.495673177,28.57711054
SRR5350121,P. sativum subsp. sativum - Primary,Included,50.28295235,-7.238475618,6.175479241
SRR5350122,P. sativum,Included,47.19083645,-15.38842901,14.42697089
SRR5350123,P. sativum,Included,-84.72361512,117.3804987,102.0274453
SRR5350124,P. sativum subsp. sativum - Primary,Included,80.06473717,-49.23358744,-17.79521397
SRR5350125,P. sativum,Included,-1.394705389,58.10916049,32.69187179
SRR5350126,P. sativum,Included,-66.89158397,145.3374497,17.67954587
SRR5350127,P. sativum - Central Asia,Included,-55.79989589,192.9831756,-147.3785478
SRR5350128,P. sativum - Central Asia,Included,-55.79276241,188.1276046,-149.8555002
SRR5350129,P. sativum,Included,32.17246198,14.18444507,26.05671452
SRR5350130,P. sativum - Central Asia,Included,-99.79881324,215.3165046,-65.48686086
SRR5350131,P. sativum - Central Asia,Included,-44.5780249,180.2327333,-159.9212538
SRR5350133,P. sativum,Included,-69.45887477,205.3860633,-149.9265062
SRR5350134,P. sativum subsp. sativum - Primary,Included,24.24822348,18.23207156,45.58852746
SRR5350135,P. sativum,Included,45.43194838,-3.116610797,19.89597979
SRR5350136,P. sativum,Included,24.09757927,34.15733344,-9.646640066
SRR5350137,P. sativum,Included,27.76483184,18.15310607,29.81462679
SRR5350138,P. sativum subsp. sativum - Primary,Included,39.15049481,-2.959508091,24.90249372
SRR5350140,P. sativum,Included,70.28409745,-41.99417144,0.85103977
SRR5350141,P. sativum - Central Asia,Included,-50.0475703,189.4229409,-146.7048544
SRR5350142,P. sativum subsp. sativum - Primary,Included,71.12193021,-46.45915356,3.190139832
SRR5350143,P. sativum subsp. sativum - Primary,Included,44.59334508,-6.880345188,22.50867622
SRR5350144,P. sativum,Included,46.19398675,-7.906546767,21.38877247
SRR5350145,P. sativum,Included,6.890836879,40.79492651,54.07357172
SRR5350146,P. sativum,Included,35.58757482,9.887193405,26.33110116
SRR5350147,P. sativum,Included,56.18707463,-20.7623621,16.73655577
SRR5350148,P. sativum subsp. sativum - Primary,Included,68.75845234,-36.69232854,2.073394374
SRR5350149,P. sativum,Included,35.04791096,6.203649032,27.13184883
SRR5350150,P. sativum subsp. sativum - Primary,Included,38.03640116,5.569135538,27.69909106
SRR5350151,P. sativum,Included,-14.41640342,110.1088435,-122.0487038
SRR5350152,P. sativum,Included,23.0692689,25.35974292,44.80386684
SRR5350153,P. sativum,Included,31.00699222,18.99643153,28.48232913
SRR5350154,P. sativum subsp. sativum - Primary,Included,52.21077573,-9.631740308,7.568217913
SRR5350155,P. sativum subsp. sativum - Primary,Included,53.20256545,-9.505484562,16.6564543
SRR5350156,P. sativum subsp. sativum - Primary,Included,62.22754443,-11.90645857,-26.14173179
SRR5350157,P. sativum subsp. sativum - Primary,Included,48.1144369,9.156919749,-17.90050316
SRR5350158,P. sativum subsp. sativum - Primary,Included,52.51924487,-14.15696298,19.92627917
SRR5350159,P. sativum subsp. sativum - Primary,Included,55.52259872,-3.796038856,-30.93345265
SRR5350160,P. sativum subsp. sativum - Primary,Included,48.6019704,10.80097081,-36.18864956
SRR5350161,P. sativum,Included,34.44750486,30.37999011,-34.43226237
SRR5350162,P. sativum,Included,67.31699709,-41.60469983,1.054336474
SRR5350163,P. sativum,Included,25.83599037,21.6214578,22.85360645
SRR5350164,P. sativum,Included,19.29591237,26.52507441,42.93183857
SRR5350165,P. sativum,Included,56.13105228,-21.41396681,12.60954722
SRR5350166,P. sativum subsp. sativum - Primary,Included,86.87830399,-66.0761312,-10.50328298
SRR5350168,P. sativum,Included,35.21750235,3.204628338,30.38680943
SRR5350169,P. sativum subsp. sativum - Primary,Included,86.81749865,-67.5460167,-13.36477618
SRR5350170,P. sativum subsp. sativum - Primary,Included,86.40958866,-66.11021703,-11.34418625
SRR5350171,P. sativum,Included,29.45734308,10.88559136,29.56469941
SRR5350172,P. sativum,Included,-62.0191187,103.6731333,64.99016283
SRR5350173,P. sativum subsp. sativum - Primary,Included,86.76199214,-69.0668125,-13.95466716
SRR5350174,P. sativum,Included,-1.180049695,82.41777672,-36.07563955
SRR5350175,P. sativum,Included,44.27802552,-3.333359438,4.955694388
SRR5350176,P. sativum,Included,46.36929523,-8.291219864,15.28432698
SRR5350177,P. sativum,Included,67.24426676,-40.02621813,-3.119362556
SRR5350179,P. sativum - Central Asia,Included,-74.26170854,211.4157899,-131.51174
SRR5350180,P. sativum - Central Asia,Included,-46.87667119,182.0306213,-146.6830794
SRR5350181,P. sativum subsp. sativum - Primary,Included,60.19795477,-27.02872604,12.1057843
SRR5350182,P. sativum subsp. sativum - Primary,Included,72.99188311,-45.36400559,-0.2711999
SRR5350183,P. sativum subsp. sativum - Primary,Included,25.68889601,21.72735163,33.81607588
SRR5350184,P. sativum - Central Asia,Included,-103.6288316,245.5871834,-112.4321458
SRR5350185,P. sativum,Included,-32.08941711,151.3872959,-100.7244428
SRR5350186,P. sativum - Central Asia,Included,-64.78837941,196.2320995,-132.8528384
