TAXA,Fe,K,P,Zn,Ca,IP6
SRR5350168,-2.021432141,-86.9212713,107.7259876,-1.782844904,NA,-0.0059557
SRR5350169,-4.548590183,404.5308949,51.67409282,-2.036765848,-12.91744439,NA
SRR5350170,-2.926260106,421.6572242,79.36146146,-1.974540271,-81.9410256,0.02597502
SRR5350171,-9.629182872,NA,NA,NA,-112.0707218,0.0495722
SRR5350172,NA,104.9511718,-182.9747872,-0.557340738,-237.9641206,-0.0195101
SRR5350173,0.077405079,-220.8331708,-185.9183858,3.097756485,190.4081716,0.01479169
SRR5350174,17.17973357,-39.04493545,-169.5086171,7.954463448,54.71025289,-0.0117916
SRR5350175,5.982868402,427.6409382,-207.9599901,1.187610372,-109.7782526,NA
SRR5350176,-8.196255901,316.3587351,119.6209197,-1.737841337,-159.9027403,0.06008711
SRR5350177,3.242762918,56.29957071,138.4945206,-1.478152497,40.68262002,0.00899291
SRR5350178,NA,NA,NA,NA,69.45725643,NA
SRR5350179,4.002760372,1206.236424,432.7508992,6.02144281,NA,NA
SRR5350180,2.386767017,-448.8109012,-155.9219392,0.105396069,1.94011782,-0.0061506
SRR5350181,4.601767507,1147.168199,599.5024135,-0.300668247,27.75477915,NA
SRR5350182,6.988640701,-536.3991231,39.23598856,1.261929889,273.3591424,0.00448528
SRR5350183,0.728658694,-64.68351449,-165.7677733,-4.337473773,NA,-0.0096939
SRR5350184,3.52910882,-206.319257,257.4348001,1.952100759,153.3561046,-0.0103838
SRR5350185,4.855888588,334.2230877,387.3913586,1.710963156,-74.11188278,-0.0191018
SRR5350186,-1.999973915,618.1150686,-146.0602089,0.98378764,3.873311441,NA
SRR5350187,-8.900809608,-686.620764,-152.9083088,-7.697201982,-65.42489747,NA
SRR5350188,NA,954.0567677,-266.6291624,-0.573499213,37.34741592,-0.044303
SRR5350189,7.461169961,-535.7868458,57.81171484,9.304520706,12.21795143,NA
SRR5350190,6.579653666,-188.97883,180.591038,4.372664156,176.6527754,-0.0047175
SRR5350191,6.140021556,332.4058215,138.7207862,1.91489541,-149.2111624,NA
SRR5350192,NA,NA,NA,NA,-31.21142365,NA
SRR5350193,-0.086401992,-49.51482326,-308.5587997,-4.003115981,NA,0.00338483
SRR5350194,3.97665301,333.9903226,-43.81565289,-0.791328799,-154.4259069,0.03358194
SRR5350195,-7.411837508,161.5629186,-107.2331799,-3.928665539,54.2220912,NA
SRR5350196,-2.607523822,-74.14808938,10.51517996,0.1247098,198.4915034,NA
SRR5350197,-5.026720898,31.92929238,-246.1080689,-0.028808903,88.29769712,-0.0112082
SRR5350198,NA,NA,160.5763974,NA,34.74161838,NA
SRR5350199,-8.985568152,900.8861513,576.1239223,3.914270839,170.3536916,0.04900552
SRR5350200,NA,318.5533105,75.58127416,4.685016481,-93.21519787,0.06019042
SRR5350201,NA,NA,NA,NA,NA,NA
SRR5350202,12.98657731,571.2132962,-14.62323623,3.803729438,NA,-0.0464951
SRR5350203,2.294154334,483.1645555,233.1955337,4.889174668,26.34996304,-0.0207482
SRR5350204,NA,NA,NA,NA,-40.95483802,NA
SRR5350205,-8.630585177,-379.7636765,-119.9918735,-2.645809071,-39.24769649,NA
SRR5350206,-0.54164546,428.9593992,-224.4359102,0.16879692,6.11805118,-0.0102719
SRR5350207,-2.375156616,799.7685747,-332.2327193,-2.872546433,2.735346753,0.02718883
SRR5350208,NA,-1709.882543,-100.4071149,NA,-32.58234704,-0.018374
SRR5350209,-5.144355321,-352.4620884,-489.7072637,-7.795870644,-72.01712197,NA
SRR5350210,NA,444.7725917,-256.6207018,3.055713309,-80.19250719,-0.000643
SRR5350211,-4.028679473,-480.2603878,-221.543119,-6.9361127,142.7967012,NA
SRR5350212,1.318355455,-106.3561018,-130.8784579,1.63323116,-230.5444583,NA
SRR5350213,NA,NA,268.5494946,-2.76867996,58.46380174,-0.0145702
SRR5350214,NA,NA,NA,NA,-258.1432836,NA
SRR5350215,NA,-565.8044754,-69.19019374,5.589731567,NA,-0.0303416
SRR5350216,NA,NA,NA,NA,100.4382768,NA
SRR5350217,NA,NA,NA,NA,NA,NA
SRR5350218,NA,NA,NA,NA,NA,NA
SRR5350219,NA,NA,NA,NA,NA,NA
SRR5350220,NA,NA,NA,NA,NA,NA
SRR5350221,NA,NA,NA,NA,NA,NA
SRR5350222,NA,NA,NA,NA,NA,NA
SRR5350223,NA,NA,NA,NA,NA,NA
SRR5350224,NA,NA,NA,NA,NA,NA
SRR5350225,NA,NA,NA,NA,NA,NA
SRR5350226,NA,NA,NA,NA,NA,NA
SRR5350227,NA,NA,NA,NA,NA,NA
SRR5350228,NA,NA,NA,NA,NA,NA
SRR5350229,NA,NA,NA,NA,NA,NA
