taxa,Species,PC1,PC2,PC3
SRR5349868,OSU,43.90225435,-19.4219098,60.5296197
SRR5349869,OSU,43.7968451,-18.05241315,47.96889878
SRR5349870,OSU,42.14021292,-18.45126227,52.65302234
SRR5349871,OSU,35.69940855,-14.11788882,38.05988429
SRR5349872,OSU,43.2755225,-19.26077417,57.52853714
SRR5349873,OSU,36.28690449,-13.81356429,37.31785337
SRR5349874,OSU,45.89885382,-21.46508657,45.1741593
SRR5349875,OSU,42.51880464,-15.40251843,55.33759852
SRR5349876,OSU,42.60778536,-15.02681543,52.32227146
SRR5349877,OSU,41.08718222,-15.10435897,50.06387754
SRR5349878,OSU,39.73132565,-14.8245602,37.52942122
SRR5349879,OSU,42.25340677,-14.19067885,47.8716071
SRR5349880,OSU,41.73982343,-17.76033918,40.41869656
SRR5349881,OSU,43.33346243,-16.06484275,31.80848553
SRR5349882,OSU,39.8643447,-14.13541822,31.156121
SRR5349883,OSU,40.49665766,-14.94902666,29.91988477
SRR5349884,OSU,43.82956313,-18.42336889,60.47254962
SRR5349885,OSU,43.27277021,-18.51225157,62.27176337
SRR5349886,OSU,44.674406,-19.51802077,52.83621457
SRR5349887,OSU,41.84813099,-18.17425835,57.4792541
SRR5349888,OSU,45.08650845,-19.10236631,62.78572243
SRR5349889,OSU,43.50154957,-18.95138,62.3685354
SRR5349890,OSU,43.04157872,-17.95004885,57.5416823
SRR5349891,OSU,43.85118912,-18.66896834,58.99978394
SRR5349892,OSU,43.68666692,-18.30275922,58.47339562
SRR5349893,OSU,45.86765095,-19.08402942,46.21210225
SRR5349894,USDA-ARS,37.7107035,-13.05687202,12.71814243
SRR5349895,USDA-ARS,36.10864472,-14.11526893,0.619556679
SRR5349896,USDA-ARS,32.65438385,-11.39765401,1.295206948
SRR5349897,USDA-ARS,-3.093770535,-34.59406099,10.49924327
SRR5349898,USDA-ARS,35.78953204,-14.1734511,0.16632667
SRR5349899,USDA-ARS,37.3686227,-17.26336151,7.920216303
