taxa,Species,PC1,PC2,PC3
SRR5350165,P. sativum,27.91081394,-7.328928679,-5.217414663
SRR5350166,P. sativum subsp. sativum - Primary,45.36891394,-17.95338673,20.15227075
SRR5350167,P. sativum subsp. sativum - Primary,34.01337885,-10.91153323,-4.054127655
SRR5350168,P. sativum,17.70546592,-2.551007531,-31.07685298
SRR5350169,P. sativum subsp. sativum - Primary,40.01089107,-14.88231708,0.23085267
SRR5350170,P. sativum subsp. sativum - Primary,40.0508804,-15.24513688,0.982915933
SRR5350171,P. sativum,6.533804145,0.885600992,-31.59772524
SRR5350172,P. sativum,-28.15075446,18.19203123,-35.12647983
SRR5350173,P. sativum subsp. sativum - Primary,45.11349877,-20.81176391,22.43388284
SRR5350174,P. sativum,-8.721132399,42.99170579,2.181413096
SRR5350175,P. sativum,17.34028921,0.52846983,-16.17372854
SRR5350176,P. sativum,21.6230625,-5.274581044,-19.10198173
SRR5350177,P. sativum,30.11531054,-9.660718337,-7.727019196
SRR5350178,P. sativum,-16.90322133,19.65202555,-30.80511348
SRR5350179,P. sativum - Central Asia,-92.38457566,125.1607562,33.24379356
SRR5350180,P. sativum - Central Asia,-90.41348287,122.4184695,32.30380714
SRR5350181,P. sativum subsp. sativum - Primary,33.63966019,-13.94701345,11.74727463
SRR5350182,P. sativum subsp. sativum - Primary,39.72742317,-17.86990265,1.118700639
SRR5350183,P. sativum subsp. sativum - Primary,32.80003869,-9.528353346,-4.391064249
SRR5350184,P. sativum - Central Asia,-96.30315717,131.4544445,34.36330347
SRR5350185,P. sativum,-57.80708161,90.80692246,15.42930627
SRR5350186,P. sativum - Central Asia,-90.80381763,121.3674268,30.20140651
SRR5350187,P. sativum,13.21217318,2.574315395,-23.49281863
SRR5350188,P. sativum subsp. sativum - Primary,30.73236586,-5.896269999,-14.26604479
SRR5350189,P. sativum - Central Asia,-92.38081472,120.938855,29.6715545
SRR5350190,P. sativum,23.91009711,-0.497958013,-17.74644592
SRR5350191,P. sativum,23.70737001,6.353355746,-7.204030768
SRR5350192,P. sativum subsp. sativum - Primary,26.79183714,5.264815853,-12.30098297
SRR5350193,P. sativum,-20.03593854,52.09421122,7.781619371
SRR5350194,P. sativum subsp. sativum - Primary,13.30181605,17.59142947,-1.802127648
SRR5350195,P. sativum subsp. sativum - Primary,24.72623916,-0.720271557,-8.720026892
SRR5350196,P. sativum subsp. sativum - Primary,25.46979067,-3.601270191,-22.12748815
SRR5350197,P. sativum,25.39593368,-4.492781005,-8.110417345
SRR5350198,P. sativum,-44.05552152,55.80815783,0.378885637
SRR5350199,P. sativum subsp. sativum - Primary,30.45702551,-7.868263558,-8.250423576
SRR5350200,P. sativum subsp. sativum - Primary,36.22710261,-9.979285686,9.556065956
SRR5350201,P. sativum subsp. sativum - Primary,34.92729748,-8.565607285,9.845293698
SRR5350202,P. sativum,-58.90461417,92.36823458,12.15313472
SRR5350203,P. sativum - Central Asia,-65.22031267,89.07858823,9.638137573
SRR5350204,P. sativum,-45.73853665,63.83153694,-6.213923276
SRR5350205,P. sativum subsp. sativum - Primary,30.08273701,-4.754601272,-13.34420599
SRR5350206,P. sativum subsp. sativum - Primary,32.43212678,-5.985104016,-6.744181563
SRR5350207,P. sativum subsp. sativum - Primary,31.67881491,-9.441590221,-6.266459235
SRR5350208,P. sativum,19.0235405,-4.27707919,-22.91541719
SRR5350209,P. sativum,25.8884346,-5.307028033,-16.77357856
SRR5350210,P. sativum - Central Asia,-97.52224152,132.6448492,33.32921673
SRR5350211,P. sativum subsp. sativum - Primary,30.14722036,-0.946900405,5.108885302
SRR5350212,P. sativum subsp. sativum - Primary,13.66836651,13.74413897,-8.485094331
SRR5350213,P. sativum,13.48775789,-0.188143147,-34.2687512
SRR5350214,P. sativum,2.393194702,24.85258778,8.744308472
SRR5350215,P. sativum - Central Asia,-82.45766749,111.0689882,28.42455509
SRR5350216,P. fulvum,40.26862694,-16.85688871,40.79736761
SRR5350217,OSU,43.13139589,-19.15645428,48.99283222
SRR5350218,OSU,38.18026103,-8.845636872,-3.709532158
SRR5350219,OSU,37.96815371,-15.64909851,44.02284127
SRR5350220,OSU,47.29825245,-21.28044717,54.9226309
SRR5350221,P. sativum,46.9022165,-21.32214811,31.68272705
SRR5350222,P. sativum,10.60138354,8.70176239,0.59768118
SRR5350223,P. sativum,47.17833441,-22.81540565,40.15028188
SRR5350224,P. sativum,40.33014455,-19.59992713,28.52426358
SRR5350225,OSU,45.39722972,-18.22285781,50.31424499
SRR5350226,P. sativum,40.53692361,-17.90200592,4.833667792
SRR5350227,P. sativum,39.79655921,-16.39730282,1.062309567
SRR5350228,P. sativum,36.87304843,-14.11411629,10.45348134
SRR5350229,P. sativum,-2.559319963,-22.72347442,29.87190784
