A778_26_6,SRR5350229
PI_357290,SRR5349983
PI_357292,SRR5349982
PI_358300,SRR5349981
PI_358613,SRR5349980
PI_358620,SRR5349979
PI_358633,SRR5349978
PI_358640,SRR5349977
PI_365419,SRR5349976
PI_371796,SRR5349975
PI_378157,SRR5349974
PI_381334,SRR5349973
PI_393488,SRR5349972
PI_393489,SRR5349971
PI_393490,SRR5349970
PI_404225,SRR5349969
PI_409031,SRR5349968
PI_411141,SRR5349967
PI_411142,SRR5349966
PI_413678,SRR5349965
PI_413683,SRR5349964
PI_413685,SRR5349963
PI_413688,SRR5349962
PI_413698,SRR5349961
PI_413703,SRR5349960
PI_429839,SRR5349959
PI_429843,SRR5349958
PI_429845,SRR5349957
PI_429849,SRR5349956
PI_430702,SRR5349955
PI_476409,SRR5349954
PI_476410,SRR5349953
PI_476413,SRR5349952
PI_477371,SRR5349951
PI_486131,SRR5349950
PI_494077,SRR5349949
PI_499982,SRR5349948
PI_505059,SRR5349947
PI_505062,SRR5349946
PI_505080,SRR5349945
PI_505108,SRR5349944
PI_505122,SRR5349943
PI_505127,SRR5349942
PI_505144,SRR5349941
PI_560055,SRR5349940
PI_560056,SRR5349939
PI_560058,SRR5349938
PI_560069,SRR5349937
PI_601516,SRR5349936
PI_619079,SRR5349935
PI_639962,SRR5349934
PI_639964,SRR5349933
PI_639967,SRR5349932
PI_639968,SRR5349931
PI_639969,SRR5349930
PI_639974,SRR5349929
PI_639976,SRR5349928
PI_639977,SRR5349927
PI_639980,SRR5349926
PI_639981,SRR5349925
PS0010128,SRR5349924
PS0010946,SRR5349923
PS02101137,SRR5349922
PS03101445,SRR5349921
PS03101822,SRR5349920
PS04100462,SRR5349919
PS04100710,SRR5349918
PS05100120,SRR5349917
PS05100522,SRR5349916
PS05100632,SRR5349915
PS05100735,SRR5349914
PS05100736,SRR5349913
PS05100840,SRR5349912
PS05101142,SRR5349911
PS05101240,SRR5349910
PS06100490,SRR5349909
PS06100542,SRR5349908
PS06100617,SRR5349907
PS06100760,SRR5349906
PS06101004,SRR5349905
PS06101043,SRR5349904
PS06101119,SRR5349903
PS06101338,SRR5349902
PS06310024W,SRR5349901
PS07100170,SRR5349900
PS07100396,SRR5349899
PS07100470,SRR5349898
PS07100471,SRR5349897
PS07100474,SRR5349896
PS07100480,SRR5349895
PS07100914,SRR5349894
S1047,SRR5349893
S1081,SRR5349892
S1086,SRR5349891
S1120_6,SRR5349890
S1188,SRR5349889
S1195,SRR5349888
S1208,SRR5349887
S1306,SRR5349886
S1364_4,SRR5349885
S1397,SRR5349884
S1430,SRR5349883
S1431,SRR5349882
S1432,SRR5349881
S1456,SRR5349880
S1516,SRR5349879
S1544,SRR5349878
S1553,SRR5349877
S1558,SRR5349876
S1561,SRR5349875
S1573,SRR5349874
S158,SRR5349873
S1586,SRR5349872
S1587,SRR5349871
S1591,SRR5349870
S718,SRR5349869
S859,SRR5349868
S875_1,SRR5349867
S906,SRR5349866
S947,SRR5349865
S973,SRR5349864
PI_618586,SRR5349863
W6_10925,SRR5349862
W6_12723,SRR5349861
W6_12738,SRR5349860
W6_12739,SRR5349859
W6_15008,SRR5349858
W6_15009,SRR5349857
W6_15010,SRR5349856
W6_15019,SRR5349855
W6_15028,SRR5349854
W6_15041,SRR5349853
W6_15043,SRR5349852
W6_15044,SRR5349851
W6_15047,SRR5349850
W6_15048,SRR5349849
W6_15163,SRR5349848
W6_17293,SRR5349847
W6_20025,SRR5349846
W6_20026,SRR5349845
W6_24570,SRR5349844
W6_26109,SRR5349843
W6_26127,SRR5349842
W6_26154,SRR5349841
W6_26157,SRR5349840
W6_26160,SRR5349839
W6_26161,SRR5349838
PI_639959,SRR5349837
PI_639957,SRR5349836
W6_31707,SRR5349835
W6_39729,SRR5349834
W6_44566,SRR5349833
W6_44573,SRR5349832
W6_44574,SRR5349831
W6_44578,SRR5349830
W6_44579,SRR5349829
W6_44580,SRR5349828
W6_44581,SRR5349827
W6_44582,SRR5349826
W6_44583,SRR5349825
W6_44642,SRR5349824
W6_44711,SRR5349823
W6_44712,SRR5349822
W6_44713,SRR5349821
W6_44714,SRR5349820
W6_44715,SRR5349819
W6_44716,SRR5349818
W6_44717,SRR5349817
W6_44718,SRR5349816
W6_44719,SRR5349815
W6_44720,SRR5349814
W6_44721,SRR5349813
W6_44722,SRR5349812
W6_44723,SRR5349811
W6_44724,SRR5349810
W6_44725,SRR5349809
W6_44726,SRR5349808
W6_44765,SRR5349807
W6_44766,SRR5349806
W6_44767,SRR5349805
W6_44768,SRR5349804
W6_44769,SRR5349803
W6_44770,SRR5349802
W6_44773,SRR5349801
W6_44774,SRR5349800
W6_44775,SRR5349799
IFPI_3232,SRR5349798
IFPI_3260,SRR5349797
P660_4,SRR5349796
PI_433560,SRR5349795
PI_531199,SRR5349794
PI_560061,SRR5349793
PI_560063_4,SRR5349792
PI_560064,SRR5349791
PI_560065,SRR5349790
PI_560066,SRR5349789
PI_560067_5,SRR5349788
PI_595932,SRR5349787
PI_595933_1,SRR5349786
PI_595934,SRR5349785
PI_595936,SRR5349784
PI_595938,SRR5349783
PI_595939,SRR5349782
PI_595940,SRR5349781
PI_595941,SRR5349780
PI_595943,SRR5349779
PI_595944,SRR5349778
PI_595948,SRR5349777
PI_595953,SRR5349776
W6_15045,SRR5349775
W6_15046,SRR5349774
